date,street,level,unit,unit_type,area_sqft,psf,price,sale_type
10 Dec 2025,72 Farrer Road,3,03,4BR,"2,842","$2,421","$6,880,000",Resale
09 Dec 2025,72 Farrer Road,3,03,4BR,"2,842","$2,421","$6,880,000",Resale
04 Dec 2025,72 Farrer Road,3,03,4BR,"2,842","$2,421","$6,880,000",Resale
05 Aug 2025,80 Farrer Road,2,01,3BR,"1,744","$2,356","$4,108,000",Resale
05 Aug 2025,82 Farrer Road,1,03,2BR,"1,550","$1,968","$3,050,000",Resale
08 May 2025,78 Farrer Road,3,01,3BR,"1,733","$2,354","$4,080,000",Resale
20 Nov 2024,70 Farrer Road,2,02,4BR,"2,669","$2,299","$6,138,000",Resale
09 Sep 2024,82 Farrer Road,1,06,2BR,"1,550","$1,923","$2,980,000",Resale
19 Feb 2024,76 Farrer Road,3,03,2BR,"1,163","$2,108","$2,450,000",Resale
07 Aug 2023,82 Farrer Road,1,04,3BR,"2,131","$1,924","$4,100,000",Resale
23 Feb 2023,80 Farrer Road,1,07,2BR,"1,518","$1,904","$2,890,000",Resale
23 Feb 2023,82 Farrer Road,3,08,3BR,"1,755","$2,103","$3,690,000",Resale
