date,street,level,unit,unit_type,area_sqft,psf,price,sale_type
04 Feb 2026,16 Spottiswoode Park Road,28,04,1BR,441,"$2,352","$1,038,000",Resale
03 Feb 2026,16 Spottiswoode Park Road,28,04,1BR,441,"$2,352","$1,038,000",Resale
09 Jan 2026,16 Spottiswoode Park Road,9,08,1BR,452,"$2,146","$970,000",Resale
03 Dec 2025,16 Spottiswoode Park Road,23,06,1BR,452,"$2,389","$1,080,000",Resale
10 Sep 2025,16 Spottiswoode Park Road,19,08,1BR,441,"$2,275","$1,003,888",Resale
16 Jul 2025,16 Spottiswoode Park Road,25,04,1BR,452,"$2,278","$1,030,000",Resale
16 May 2025,16 Spottiswoode Park Road,25,06,1BR,463,"$2,344","$1,085,000",Resale
25 Mar 2025,16 Spottiswoode Park Road,10,01,2BR,581,"$2,581","$1,500,000",Resale
15 Oct 2024,16 Spottiswoode Park Road,17,01,2BR,581,"$2,581","$1,500,000",Resale
05 Sep 2024,16 Spottiswoode Park Road,12,05,1BR,441,"$2,358","$1,040,000",Resale
29 Aug 2024,16 Spottiswoode Park Road,13,07,2BR,538,"$2,453","$1,320,000",Resale
15 Aug 2024,16 Spottiswoode Park Road,15,04,1BR,452,"$2,327","$1,052,000",Resale
25 Jul 2024,16 Spottiswoode Park Road,19,05,1BR,441,"$2,426","$1,070,000",Resale
19 Jul 2024,16 Spottiswoode Park Road,18,07,2BR,538,"$2,471","$1,330,000",Resale
09 May 2024,16 Spottiswoode Park Road,30,07,3BR,"1,033","$2,419","$2,500,000",Resale
26 Apr 2024,16 Spottiswoode Park Road,16,05,1BR,441,"$2,266","$1,000,000",Resale
